package,mentions,example
@runcomfy/cli,305,1. **RunComfy CLI** — `npm i -g @runcomfy/cli`
playwright,207,| `playwright` + Chromium | `render_cover.js` | `npm install -g playwright && npx playwright install chromium` |
docx,201,"Generate .docx files with JavaScript, then validate. Install: `npm install -g docx`"
@apify/mcpc,177,- `mcpc` CLI tool: `npm install -g @apify/mcpc`
pptxgenjs,168,- `npm install -g pptxgenjs` — creating from scratch
react,139,- `npm install -g react-icons react react-dom sharp` — icons (optional)
react-dom,138,- `npm install -g react-icons react react-dom sharp` — icons (optional)
sharp,138,- `npm install -g react-icons react react-dom sharp` — icons (optional)
react-icons,133,- `npm install -g react-icons react react-dom sharp` — icons (optional)
agent-browser,83,"The CLI uses Chrome/Chromium via CDP directly. Install via `npm i -g agent-browser`, `brew install agent-browser`, or `c"
@openai/codex,57,| `codex: command not found` | Tell user: `npm i -g @openai/codex` |
wrangler,51,- Wrangler CLI (`npm install -g wrangler`)
@anthropic-ai/claude-code,47,`npm i -g @anthropic-ai/claude-code`. The eval tier needs model auth. If the
meitu-cli,46,- Install: `npm install -g meitu-cli`（包名 meitu-cli，非 meitu-ai）
appium,42,"**Requirements:** macOS with Xcode, Appium (`npm install -g appium && appium driver install xcuitest`)"
date-fns,40,- **`packageManager`** → use this for any non-shadcn-vue dependency installs (e.g. `pnpm add date-fns` vs `npm install d
@mermaid-js/mermaid-cli,39,- Mermaid CLI — `npm install -g @mermaid-js/mermaid-cli` then `mmdc -i input.mmd -o output.png`
@google/genai,39,- **JavaScript/TypeScript**: `@google/genai` install with `npm install @google/genai`
@playwright/test,38,> Playwright is required. Install it with: `npm install -D playwright` or `npm install -D @playwright/test`
browse,33,compatibility: Requires browse CLI (`npm install -g browse`) and BROWSERBASE_API_KEY env var
pkg,31,"- Expand `<PackageManagerTabs command=""add pkg -D"" />` to a `bash` code block using `pnpm add pkg -D`."
claude-flow,31,- Claude Flow CLI installed (`npm install -g claude-flow@alpha`)
vercel,29,- **CLI**: `vercel` (Install via `npm i -g vercel`)
@google/gemini-cli,27,| `gemini: command not found` | Tell user: `npm i -g @google/gemini-cli` |
twilio,26,- SDK: `pip install twilio flask` / `npm install twilio express`
cclsp,24,| Python     | pyright                    | `npm install -g pyright`                                   | `npx cclsp inst
@fission-ai/openspec,19,本流程要求 **OpenSpec >= 1.5.0**。版本低于 1.5.0、无法解析版本、命令不可用或返回非零退出码时立即停止，并提示运行 `npm install -g @fission-ai/openspec@latest` 后重试；
typescript,18,| 配套脚本 `init.sh`包含 `npm install -g typescript@5.0.0` | ❌**不报告** | skill自动执行全局安装但**版本已固定**，无投毒风险                         
ai,17,- **OpenAI API & Vercel AI SDK:** Install OpenAI's library or the Vercel AI SDK. We will use **Vercel's AI SDK** (`npm i
zod,17,Also ensure `zod` is installed in the homepage project (`npm install zod` if needed).
@salesforce/cli,17,- Install: `npm install -g @salesforce/cli`
@iblai/cli,17,- npm: `npm install -g @iblai/cli@latest`
jest,16,3. Install test runner deps: `pnpm add -wD jest jest-environment-jsdom ts-jest @types/jest`
eas-cli,16,- `eas-cli` installed (`npm install -g eas-cli`).
firebase-tools,16,- `firebase` CLI installed (`which firebase`; auto-installs via `npm install -g firebase-tools` if missing)
agent-device,15,"Require `agent-device >= 0.20.0`; older CLIs lack the current help topics and Vega OS routing. If older, stop and tell t"
package-name,15,"* **DEPENDENCY VERIFICATION [MANDATORY]:** Before importing ANY 3rd party library (e.g. `framer-motion`, `lucide-react`,"
puppeteer,15,> ⚠️ 此步驟為**必要步驟**，每次 build 完成後都**必須**執行，不可省略。需要 Puppeteer（`npm install --save-dev puppeteer`）。
defuddle,15,If not installed: `npm install -g defuddle`
viem,14,- **MPP**: 7 direct read routes accept accountless payments. SDK: `npm i mppx@0.8.12 viem@2.55.4`.
@stripe/link-cli,14,"Once the user picks, silently run `which <tool> 2>/dev/null` to check if it’s installed. If not installed, offer to inst"
@ionic/cli,14,2. **Ionic CLI** installed globally (`npm install -g @ionic/cli`).
tailwindcss,14,| Upgrading only one of the two packages               | Mismatched peer dependencies cause cryptic PostCSS errors      
@github/copilot-sdk,14,| Node.js/TypeScript | `npm install @github/copilot-sdk`         |
