package,mentions,classification,has_bin,description,keywords,error
@runcomfy/cli,305,cli,True,RunComfy CLI — run AI media models on RunComfy,"runcomfy,comfyui,ai,cli,image-generation,video-generation",
playwright,207,cli,True,A high-level API to automate web browsers,,
docx,201,likely-cli (no bin field found),False,Easily generate .docx files with JS/TS with a nice declarative API. Works for Node and on the Browser.,"docx,office,word,generate,creator,create,document,doc,officegen,clippy",
@apify/mcpc,177,cli,True,Universal command-line client for the Model Context Protocol (MCP).,"Model Context Protocol,MCP,CLI,Code mode,LLM,AI",
pptxgenjs,168,library,False,Create JavaScript PowerPoint Presentations,"es6-powerpoint,html-to-powerpoint,javascript-create-powerpoint,javascript-create-pptx,javascript-generate-pptx,javascript-powerpoint,javascript-powerpoint-charts,javascript-pptx,js-create-powerpoint,js-create-pptx,js-generate-powerpoint,js-powerpoint,js-powerpoint-library,js-powerpoint-pptx,node-powerpoint,officejs-alternative,react-powerpoint,slide-generator,typescript-powerpoint",
react,139,library,False,React is a JavaScript library for building user interfaces.,react,
react-dom,138,library,False,React package for working with the DOM.,react,
sharp,138,library,False,"High performance Node.js image processing, the fastest module to resize JPEG, PNG, WebP, GIF, AVIF and TIFF images","jpeg,png,webp,avif,tiff,gif,svg,jp2,dzi,image,resize,thumbnail,crop,embed,libvips,vips",
react-icons,133,library,False,SVG React icons of popular icon packs using ES6 imports,,
agent-browser,83,cli,True,Browser automation CLI for AI agents,"browser,automation,headless,chrome,cdp,cli,agent",
@openai/codex,57,cli,True,Codex CLI is a coding agent from OpenAI that runs locally on your computer.,,
wrangler,51,cli,True,Command-line interface for all things Cloudflare Workers,"assembly,cli,cloudflare,cloudflare workers,compute,edge,emscripten,graphql,http,router,rust,serverless,serverless application,serverless module,typescript,wasm,web,webassembly,workers,wrangler",
@anthropic-ai/claude-code,47,cli,True,"Use Claude, Anthropic's AI assistant, right from your terminal. Claude can understand your codebase, edit files, run terminal commands, and handle ent",,
meitu-cli,46,cli,True,Node.js CLI for Meitu OpenAPI image and media tasks.,"meitu,cli,openapi,image,video,agent,skills",
appium,42,cli,True,Automation for Apps.,"android,automation,firefoxos,ios,javascript,selenium,testing,webdriver",
date-fns,40,library,False,Modern JavaScript date utility library,,
@mermaid-js/mermaid-cli,39,cli,True,Command-line interface for mermaid,,
@google/genai,39,library,False,[![NPM Downloads](https://img.shields.io/npm/dw/%40google%2Fgenai)](https://www.npmjs.com/package/@google/genai) [![Node Current](https://img.shields.,,
@playwright/test,38,cli,True,A high-level API to automate web browsers,,
browse,33,cli,True,Unified Browserbase CLI for browser automation and cloud APIs.,,
pkg,31,cli,True,Package your Node.js project into an executable,,
claude-flow,31,cli,True,"Ruflo - Enterprise AI agent orchestration for Claude Code. Deploy 60+ specialized agents in coordinated swarms with self-learning, fault-tolerant cons","ruvflow,claude,claude-code,anthropic,ai,ai-agents,multi-agent,agent-orchestration,swarm-intelligence,swarm,mcp,model-context-protocol,llm,large-language-model,gpt,chatgpt,automation,workflow,orchestration,cli,developer-tools,devtools,coding-assistant,code-generation,enterprise,vector-database,embeddings,machine-learning,neural-network,hive-mind,distributed-systems,consensus,self-learning",
vercel,29,cli,True,The command-line interface for Vercel,,
@google/gemini-cli,27,cli,True,Gemini CLI,,
twilio,26,library,False,A Twilio helper library,"twilio,sms,rest,api",
cclsp,24,cli,True,MCP server for accessing LSP functionality,"mcp,lsp,language-server,model-context-protocol,claude-code",
@fission-ai/openspec,19,cli,True,AI-native system for spec-driven development,"openspec,specs,cli,ai,development",
typescript,18,cli,True,TypeScript is a language for application scale JavaScript development,"TypeScript,Microsoft,compiler,language,javascript",
ai,17,library,False,"AI SDK by Vercel - build apps like ChatGPT, Claude, Gemini, and more with a single interface for any model using the Vercel AI Gateway or go direct to","ai,vercel,sdk,llm,mcp,tool-calling,tools,structured-output,agent,agentic,generative,genai,chatbot,prompt,inference,language-model,streaming,openai,anthropic,claude,gemini,xai,grok",
zod,17,library,False,TypeScript-first schema declaration and validation library with static type inference,"typescript,schema,validation,type,inference",
@salesforce/cli,17,cli,True,The Salesforce CLI,"oclif,salesforce,sf",
@iblai/cli,17,unknown,False,,,HTTP 404
jest,16,cli,True,Delightful JavaScript Testing.,"ava,babel,coverage,easy,expect,facebook,immersive,instant,jasmine,jest,jsdom,mocha,mocking,painless,qunit,runner,sandboxed,snapshot,tap,tape,test,testing,typescript,watch",
eas-cli,16,cli,True,EAS command line tool,"cli,eas,expo",
firebase-tools,16,cli,True,Command-Line Interface for Firebase,"cdn,cli,ssl,cloud,hosting,firebase,realtime,websockets,synchronization",
agent-device,15,cli,True,"Agent-native CLI for AI app automation across iOS, Android, tvOS, Android TV, macOS, Linux, and web.","agent,device,cli,automation,adb,simctl,devicectl,ios,android,tvos,macos,web,browser,react-native,observability,diagnostics,network,profiling,performance,mcp,model-context-protocol,mcp-server,ai-agent,mobile-automation,ios-simulator,android-emulator,xcuitest,e2e-testing,cursor,claude-code,expo,mobile-testing,qa-automation,ai-testing,ios-automation,android-automation,simulator,emulator,appium,maestro,detox",
package-name,15,library,False,Package description,,
puppeteer,15,cli,True,A high-level API to control headless Chrome over the DevTools Protocol,"puppeteer,chrome,headless,automation",
defuddle,15,cli,True,Extract article content and metadata from web pages.,"readability,content-extraction,article-extraction,web-scraping,html-cleanup,content-parser,article-parser,dom",
viem,14,library,False,TypeScript Interface for Ethereum,"eth,ethereum,dapps,wallet,web3,typescript",
@stripe/link-cli,14,cli,True,"Link CLI lets agents get secure, one-time-use payment credentials from a Link wallet to complete purchases on your behalf — without storing your real ",,
@ionic/cli,14,cli,True,A tool for creating and developing Ionic Framework mobile apps.,"ionic,ionic framework,ionicframework,mobile,app,hybrid,cordova,native,phonegap",
tailwindcss,14,library,False,A utility-first CSS framework for rapidly building custom user interfaces.,,
@github/copilot-sdk,14,likely-cli (no bin field found),False,TypeScript SDK for programmatic control of GitHub Copilot CLI via JSON-RPC,"github,copilot,sdk,jsonrpc,agent",
@aomi-labs/client,14,cli,True,Platform-agnostic TypeScript client for the Aomi backend API,,
@youmind-ai/cli,14,cli,True,YouMind OpenAPI CLI — 通过命令行调用 YouMind OpenAPI。,,
chromium,13,library,False,Chromium binaries for Node.js projects,"chromium,chrome,browser",
marked,12,cli,True,A markdown parser built for speed,"markdown,markup,html",
@tobilu/qmd,12,cli,True,"Query Markup Documents - On-device hybrid search for markdown files with BM25, vector search, and LLM reranking","markdown,search,fts,full-text-search,vector,semantic-search,sqlite,bm25,embeddings,rag,mcp,reranking,knowledge-base,local-ai,llm",
@capawesome/capacitor-live-update,12,library,False,Capacitor plugin to update your app remotely in real-time.,"capacitor,plugin,native,ionic,android,ios,live update,remote update,ota,capgo",
diffity,12,cli,True,GitHub-style git diff viewer in the browser,"git,diff,viewer,cli,code-review,github",
zerion-cli,12,cli,True,Zerion for AI agents and developers: wallet-analysis skill bundle and a JSON-first CLI.,"zerion,ai,wallet,openclaw,cli",
@saleor/macaw-ui,12,library,False,Saleor's UI component library,"saleor,macaw,macaw-ui,react,ui components",
scripts,12,library,False,Resolve scripts based on supported extensions.,"require,path",
mppx,11,cli,True,,,
apify-cli,11,cli,True,"Apify command-line interface (CLI) helps you manage the Apify cloud platform and develop, build, and deploy Apify Actors.","apify,client,node,command,line,bash",
