package,mentions,classification,has_bin,vuln_count,max_severity,advisory_ids,summary
@runcomfy/cli,305,cli,True,0,,,
playwright,207,cli,True,1,HIGH,GHSA-7mvr-c777-76hp,Playwright downloads and installs browsers without verifying the authenticity of the SSL certificate
docx,201,likely-cli (no bin field found),False,0,,,
@apify/mcpc,177,cli,True,0,,,
agent-browser,83,cli,True,0,,,
@openai/codex,57,cli,True,2,CRITICAL,"GHSA-w5fx-fh39-j5rw,GHSA-xrxf-jgv3-qmrm",Codex has sandbox bypass due to bug in path configuration logic; OpenAI Codex CLI enables code execution through malicious MCP (Model Context Protocol) configuration
wrangler,51,cli,True,4,CRITICAL,"GHSA-36p8-mvp6-cv38,GHSA-8c93-4hch-xgxp,GHSA-cfph-4qqh-w828,GHSA-f8mp-x433-5wpf",Wrangler affected by OS Command Injection in `wrangler pages deploy`; Cloudflare Wrangler directory traversal vulnerability; Arbitrary remote file read in Wrangler dev server
@anthropic-ai/claude-code,47,cli,True,28,HIGH,"GHSA-2jjv-qf24-vfm4,GHSA-4fgq-fpq9-mr3g,GHSA-4q92-rfm6-2cqx,GHSA-4vp2-6q8c-pvq2,GHSA-5cwg-9f6j-9jvx,GHSA-5hhx-v7f6-x7gv,GHSA-66m2-gx93-v996,GHSA-66q4-vfjg-2qhh,GHSA-7835-87q9-rgvv,GHSA-7mv8-j34q-vp7q,GHSA-9f65-56v6-gxw7,GHSA-ff64-7w26-62rf,GHSA-fg94-h982-f3mm,GHSA-j4h9-wv2m-wrf7,GHSA-jh7p-qr78-84p7,GHSA-mhg7-666j-cqg4,GHSA-mmgp-wc2j-qcv7,GHSA-ph6w-f82w-28w6,GHSA-pmw4-pwvc-3hx2,GHSA-q5hj-mxqh-vv77,GHSA-q728-gf8j-w49r,GHSA-qgqw-h4xq-7w8w,GHSA-qxfv-fcpc-w36x,GHSA-vhw5-3g5m-8ggf,GHSA-vp62-r36r-9xqp,GHSA-x56v-x2h6-7j34,GHSA-x5gv-jw7f-j6xj,GHSA-xq4m-mc3c-vvg3",Claude Code Vulnerable to Arbitrary Code Execution via Plugin Autoloading with Specific Yarn Version; Claude Code can execute commands prior to the startup trust dialog ; Claude Code has Permission Deny Bypass Through Symbolic Links
meitu-cli,46,cli,True,0,,,
appium,42,cli,True,0,,,
@mermaid-js/mermaid-cli,39,cli,True,0,,,
@playwright/test,38,cli,True,0,,,
browse,33,cli,True,0,,,
pkg,31,cli,True,1,MODERATE,GHSA-22r3-9w55-cj54,Pkg Local Privilege Escalation
claude-flow,31,cli,True,0,,,
vercel,29,cli,True,1,MODERATE,GHSA-pgf8-2hgj-grqg,Vercel: Non-interactive mode includes CLI arguments in suggested command output
@google/gemini-cli,27,cli,True,1,CRITICAL,GHSA-wpqr-6v78-jr5g,Gemini CLI: Remote Code Execution via workspace trust and tool allowlisting bypasses
cclsp,24,cli,True,0,,,
@fission-ai/openspec,19,cli,True,0,,,
typescript,18,cli,True,0,,,
@salesforce/cli,17,cli,True,0,,,
jest,16,cli,True,0,,,
eas-cli,16,cli,True,0,,,
firebase-tools,16,cli,True,1,LOW,GHSA-rcm2-22f3-pqv3,Firebase vulnerable to CRSF attack
agent-device,15,cli,True,0,,,
puppeteer,15,cli,True,1,MODERATE,GHSA-c2gp-86p4-5935,Use-After-Free in puppeteer
defuddle,15,cli,True,1,LOW,GHSA-5mq8-78gm-pjmq,defuddle vulnerable to XSS via unescaped string interpolation in _findContentBySchemaText image tag
@stripe/link-cli,14,cli,True,0,,,
@ionic/cli,14,cli,True,0,,,
@github/copilot-sdk,14,likely-cli (no bin field found),False,0,,,
@aomi-labs/client,14,cli,True,0,,,
@youmind-ai/cli,14,cli,True,0,,,
marked,12,cli,True,13,HIGH,"GHSA-4r62-v4vq-hr96,GHSA-5v2h-r2cx-5xgj,GHSA-6v9c-7cg6-27q7,GHSA-7px7-7xjx-hxm8,GHSA-9cw2-jqp5-7x39,GHSA-cfjh-p3g4-3q2f,GHSA-ch52-vgq2-943f,GHSA-hjcp-j389-59ff,GHSA-p9wx-2529-fp83,GHSA-rrrm-qjm4-v8hf,GHSA-vfvf-mqq8-rwqc,GHSA-x5pg-88wf-qq4p,GHSA-xf5p-87ch-gxw2",Regular Expression Denial of Service (REDoS) in Marked; Inefficient Regular Expression Complexity in marked; Marked Vulnerable to OOM Denial of Service via Infinite Recursion in marked Tokenizer
@tobilu/qmd,12,cli,True,0,,,
diffity,12,cli,True,0,,,
zerion-cli,12,cli,True,0,,,
mppx,11,cli,True,3,CRITICAL,"GHSA-8mhj-rffc-rcvw,GHSA-8x4m-qw58-3pcx,GHSA-mv9j-8jvg-j8mr",mppx has Stripe charge credential replay via missing idempotency check; mppx has multiple payment bypass and griefing vulnerabilities; mppx: Tempo has a session close voucher bypass vulnerability due to settled amount equality
apify-cli,11,cli,True,0,,,
gitnexus,11,cli,True,0,,,
@llamaindex/liteparse,11,cli,True,0,,,
hyperframes,11,cli,True,0,,,
bun,11,cli,True,2,HIGH,"GHSA-4j66-8f4r-3pjx,GHSA-v9mx-4pqq-h232",bun vulnerable to OS Command Injection; Bun has an Application-level Prototype Pollution vulnerability in the runtime native API for Glo
@emblemvault/agentwallet,11,cli,True,0,,,
eslint,10,cli,True,0,,,
portless,10,cli,True,0,,,
pyright,10,cli,True,0,,,
vibium,10,cli,True,0,,,
@azure/identity,9,likely-cli (no bin field found),False,1,MODERATE,GHSA-m5vv-6r4h-3vj9,Azure Identity Libraries and Microsoft Authentication Library Elevation of Privilege Vulnerability
@jackwener/opencli,9,cli,True,0,,,
mint,9,cli,True,0,,,
vitest,9,cli,True,2,CRITICAL,"GHSA-5xrq-8626-4rwp,GHSA-9crc-q9x8-hgqq","When Vitest UI server is listening, arbitrary file can be read and executed; Vitest allows Remote Code Execution when accessing a malicious website while Vitest API server is li"
@shopify/cli,8,cli,True,0,,,
@actionbookdev/json-ui,8,cli,True,0,,,
@lambdatest/smartui-cli,8,cli,True,0,,,
newman-reporter-htmlextra,8,cli,True,0,,,
@getpara/cli,8,cli,True,0,,,
oh-my-claude-sisyphus,8,cli,True,0,,,
open-agreements,7,cli,True,0,,,
genkit-cli,7,cli,True,0,,,
@moonpay/cli,7,cli,True,0,,,
sfw,7,cli,True,0,,,
playwright-chromium,6,cli,True,0,,,
@microsoft/workiq,6,cli,True,0,,,
opencode-ai,6,cli,True,2,CRITICAL,"GHSA-c83v-7274-4vgp,GHSA-vxw4-wv6m-9hhh",Malicious website can execute commands on the local system through XSS in the OpenCode web UI; OpenCode's Unauthenticated HTTP Server Allows Arbitrary Command Execution
@nx/eslint-plugin,6,likely-cli (no bin field found),False,0,,,
@nx/react,6,likely-cli (no bin field found),False,0,,,
ts-jest,6,cli,True,0,,,
@marswave/coli,6,cli,True,0,,,
mmx-cli,6,cli,True,0,,,
@angular/cli,6,cli,True,0,,,
